D,Name,Firm,Sector,Stage,Thesis,Location,TicketSize
I001,Sarah Chen,Sequoia Capital,AI/ML,"Seed,Series A","Investing in AI-native companies that apply large language models and deep learning to transform consumer commerce, personalization, and recommendation systems.",Menlo Park,500000
I002,David Okafor,Andreessen Horowitz,FinTech,"Series A,Series B","Backing infrastructure-layer fintech startups disrupting cross-border payments, open banking, and embedded finance in high-growth emerging markets.",San Francisco,2000000
I003,Emily Watson,Breakthrough Energy Ventures,CleanTech,"Seed,Series A","Supporting science-based climate tech companies developing scalable solutions in renewable energy, grid modernization, and carbon measurement and removal.",Seattle,750000
I004,Marcus Lee,Tiger Global,Cybersecurity,"Series B,Growth","Partnering with enterprise cybersecurity companies using AI and behavioral analytics to solve identity, zero-trust access, and insider threat challenges at scale.",New York,5000000
I005,Priya Nair,Khosla Ventures,HealthTech,"Pre-Seed,Seed","Funding early-stage digital health and medtech startups using machine learning and IoT to shift healthcare from reactive to predictive and preventative models.",Palo Alto,300000
I006,James O'Connor,Union Square Ventures,EdTech,"Seed,Series A","Investing in education technology platforms that democratize access to quality learning through AI personalization, community-driven content, and immersive experiences.",New York,600000
I007,Fatou Diallo,Accel Partners,HR Tech,"Series A,Series B","Backing future-of-work platforms leveraging data and AI to solve hiring bias, workforce planning, and employee engagement for global enterprise clients.",London,1500000
I008,Kevin Park,Founders Fund,AI/ML,"Series A,Series B","Investing in transformative AI companies building proprietary models or infrastructure that create compounding defensibility in high-value B2B verticals.",San Francisco,3000000
I009,Ana Rodrigues,SOSV,AgriTech,"Pre-Seed,Seed","Funding hardware-software AgriTech startups using robotics, computer vision, and autonomous systems to solve food security and agricultural productivity challenges.",New York,250000
I010,Thomas Berg,Cherry Ventures,Manufacturing,"Seed,Series A","Partnering with deep tech and industrial automation startups applying AI and robotics to modernize European manufacturing and reduce production inefficiencies.",Berlin,400000
I011,Amina Hassan,Partech,FinTech,"Seed,Series A","Investing in African and emerging market fintech founders building payment infrastructure, financial inclusion tools, and SME credit solutions at the base of the pyramid.",Paris,500000
I012,Rachel Kim,General Catalyst,MentalHealth,"Seed,Series A","Backing digital mental health platforms that combine clinical rigor with consumer-grade UX to scale access to therapy, peer support, and crisis intervention.",Boston,800000
I013,Luca Ferrari,Lux Capital,Cybersecurity,"Seed,Series A","Funding deep-tech security startups building privacy-enhancing technologies, differential privacy tools, and federated learning systems for regulated industries.",New York,700000
I014,Yuki Tanaka,SoftBank Vision Fund,Manufacturing,"Series A,Series B","Investing in large-scale industrial robotics and AI-guided automation systems that can be deployed globally across automotive, aerospace, and logistics sectors.",Tokyo,10000000
I015,Grace Adewale,Norrsken VC,CleanTech,"Pre-Seed,Seed","Backing impact-driven founders building climate and sustainability tech with clear carbon reduction outcomes, focusing on SME emissions tracking and circular economy tools.",Stockholm,350000
